-0.819182e	-0.564828e
-0.818982e	-0.564862e
-0.818782e	-0.564895e
-0.818582e	-0.564928e
-0.818382e	-0.564961e
-0.818182e	-0.564994e
-0.817982e	-0.565027e
-0.817782e	-0.565059e
-0.817582e	-0.565092e
-0.817382e	-0.565124e
-0.817182e	-0.565157e
-0.816982e	-0.565189e
-0.816782e	-0.565221e
-0.816582e	-0.565253e
-0.816382e	-0.565285e
-0.816182e	-0.565317e
-0.815982e	-0.565349e
-0.815782e	-0.565380e
-0.815582e	-0.565412e
-0.815382e	-0.565443e
-0.815182e	-0.565475e
-0.814981e	-0.565506e
-0.814781e	-0.565537e
-0.814581e	-0.565568e
-0.814381e	-0.565599e
-0.814181e	-0.565630e
-0.813981e	-0.565660e
-0.813781e	-0.565691e
-0.813581e	-0.565721e
-0.813381e	-0.565752e
-0.813181e	-0.565782e
-0.812981e	-0.565812e
-0.812781e	-0.565842e
-0.812581e	-0.565872e
-0.812381e	-0.565902e
-0.812181e	-0.565932e
-0.811981e	-0.565961e
-0.811781e	-0.565991e
-0.811581e	-0.566020e
-0.811381e	-0.566049e
-0.811181e	-0.566078e
-0.810981e	-0.566108e
-0.810781e	-0.566137e
-0.810581e	-0.566165e
-0.810381e	-0.566194e
-0.810181e	-0.566223e
-0.809981e	-0.566251e
-0.809781e	-0.566280e
-0.809581e	-0.566308e
-0.809381e	-0.566336e
-0.809181e	-0.566364e
-0.808981e	-0.566392e
-0.808781e	-0.566420e
-0.808581e	-0.566448e
-0.808381e	-0.566476e
-0.808181e	-0.566503e
-0.807981e	-0.566531e
-0.807781e	-0.566558e
-0.807581e	-0.566585e
-0.807381e	-0.566612e
-0.807181e	-0.566639e
-0.806981e	-0.566666e
-0.806781e	-0.566693e
-0.806581e	-0.566720e
-0.806381e	-0.566746e
-0.806181e	-0.566773e
-0.805981e	-0.566799e
-0.805781e	-0.566825e
-0.805581e	-0.566852e
-0.805381e	-0.566878e
-0.805181e	-0.566903e
-0.804980e	-0.566929e
-0.804780e	-0.566955e
-0.804580e	-0.566981e
-0.804380e	-0.567006e
-0.804180e	-0.567031e
-0.803980e	-0.567057e
-0.803780e	-0.567082e
-0.803580e	-0.567107e
-0.803380e	-0.567132e
-0.803180e	-0.567157e
-0.802980e	-0.567181e
-0.802780e	-0.567206e
-0.802580e	-0.567231e
-0.802380e	-0.567255e
-0.802180e	-0.567279e
-0.801980e	-0.567303e
-0.801780e	-0.567328e
-0.801580e	-0.567351e
-0.801380e	-0.567375e
-0.801180e	-0.567399e
-0.800980e	-0.567423e
-0.800780e	-0.567446e
-0.800580e	-0.567470e
-0.800380e	-0.567493e
